Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor
º C,W/g,º C,W/g,º C,W/g,º C,W/g
20 ºC/min,20 ºC/min,15 ºC/min,15 ºC/min,10 ºC/min,10 ºC/min,5 ºC/min,5 ºC/min
"89,40546","-1,084416","87,05444","-0,7022172","84,69397","-0,4966454","82,73055","-0,2659971"
"89,47296","-1,084502","87,10425","-0,7022578","84,72784","-0,496276","82,75468","-0,2654701"
"89,53976","-1,084587","87,15392","-0,702298","84,76061","-0,4958937","82,77949","-0,2650026"
"89,60574","-1,084671","87,20492","-0,7023376","84,79356","-0,4954981","82,7964","-0,2647187"
"89,67514","-1,084754","87,25402","-0,7023766","84,82734","-0,4950839","82,81379","-0,2644104"
"89,7389","-1,084836","87,30454","-0,7024145","84,86149","-0,4946508","82,83124","-0,2640818"
"89,80676","-1,084917","87,35449","-0,7024512","84,89391","-0,4942148","82,84703","-0,2637517"
"89,87347","-1,084998","87,40441","-0,7024862","84,92797","-0,4938008","82,8723","-0,2632412"
"89,94082","-1,085077","87,45516","-0,7025194","84,96134","-0,4933542","82,89738","-0,2626844"
"90,00634","-1,085156","87,50476","-0,7025506","84,99406","-0,4928791","82,91355","-0,262306"
"90,07269","-1,085234","87,55541","-0,7025799","85,02835","-0,4924019","82,9311","-0,2619531"
"90,14041","-1,085311","87,60541","-0,7026076","85,06122","-0,491961","82,94832","-0,26164"
"90,20689","-1,085387","87,65561","-0,7026343","85,09403","-0,4915344","82,96402","-0,2612888"
"90,27376","-1,085463","87,70543","-0,7026602","85,12843","-0,4911258","82,9902","-0,2606723"
"90,3403","-1,085538","87,75621","-0,7026852","85,16216","-0,4907381","83,01532","-0,260041"
"90,40731","-1,085611","87,80551","-0,702709","85,19538","-0,4903864","83,03199","-0,2595926"
"90,47421","-1,085684","87,85648","-0,7027325","85,22855","-0,4900316","83,0479","-0,2591462"
"90,54022","-1,085756","87,90568","-0,7027554","85,26264","-0,4896808","83,06489","-0,2587144"
"90,60719","-1,085826","87,95578","-0,7027774","85,29559","-0,4893496","83,08264","-0,258271"
"90,67311","-1,085893","88,00631","-0,7027984","85,32941","-0,4890128","83,10734","-0,2576515"
"90,7415","-1,085954","88,05586","-0,7028188","85,36298","-0,4887228","83,13281","-0,2569709"
"90,80793","-1,086009","88,1065","-0,7028382","85,39542","-0,4884359","83,14961","-0,2564786"
"90,87424","-1,086058","88,15652","-0,702857","85,42945","-0,4880954","83,16571","-0,2560516"
"90,94091","-1,0861","88,20699","-0,702875","85,46378","-0,4876987","83,1827","-0,2555985"
"91,00806","-1,086142","88,25679","-0,7028916","85,49692","-0,4873178","83,19906","-0,2551271"
"91,07524","-1,086189","88,30637","-0,7029051","85,53049","-0,4869364","83,22431","-0,254434"
"91,14231","-1,08623","88,35616","-0,7029156","85,56348","-0,4865289","83,2495","-0,2536593"
"91,20814","-1,086253","88,40689","-0,7029248","85,59642","-0,4861036","83,26594","-0,2531604"
"91,27509","-1,086252","88,45624","-0,7029321","85,63024","-0,4856406","83,28295","-0,2527047"
"91,34335","-1,086201","88,50738","-0,7029374","85,6635","-0,485183","83,29931","-0,2521798"
"91,40975","-1,086103","88,55681","-0,7029389","85,69732","-0,4848303","83,31582","-0,251727"
"91,47732","-1,08598","88,60762","-0,7029371","85,73092","-0,4843914","83,3415","-0,251122"
"91,54394","-1,085835","88,65714","-0,7029326","85,76459","-0,4838384","83,36678","-0,250603"
"91,61006","-1,085619","88,70754","-0,702925","85,79829","-0,4833011","83,38284","-0,2503049"
"91,67668","-1,085384","88,75688","-0,7029132","85,83118","-0,4827825","83,40032","-0,249985"
"91,74406","-1,085162","88,80795","-0,7028928","85,86526","-0,4822792","83,41793","-0,2495991"
"91,81078","-1,084946","88,85766","-0,7028599","85,89838","-0,4817418","83,43419","-0,2492534"
"91,87828","-1,084692","88,90776","-0,7028179","85,93152","-0,4811372","83,45045","-0,2489453"
"91,94536","-1,084444","88,95782","-0,7027706","85,96501","-0,4804734","83,47618","-0,2484842"
"92,01124","-1,084162","89,00789","-0,7027137","85,99941","-0,4798892","83,50151","-0,2479543"
"92,07837","-1,083831","89,05793","-0,7026336","86,03228","-0,4793613","83,51812","-0,247568"
"92,14412","-1,083412","89,10856","-0,7025304","86,06546","-0,4788466","83,53553","-0,2472267"
"92,21162","-1,08298","89,15855","-0,7023906","86,09988","-0,4783194","83,55184","-0,2468322"
"92,27908","-1,082486","89,20861","-0,7022361","86,13316","-0,4776984","83,5686","-0,2464492"
"92,34506","-1,081852","89,25861","-0,7020855","86,16629","-0,477041","83,59363","-0,2458284"
"92,41225","-1,081233","89,30878","-0,7019251","86,20006","-0,4764652","83,61945","-0,2452277"
"92,47936","-1,080565","89,35837","-0,7017447","86,23397","-0,4758534","83,63569","-0,244854"
"92,54695","-1,079974","89,40894","-0,7015276","86,26728","-0,4752821","83,6516","-0,2444102"
"92,6132","-1,079414","89,4591","-0,7012986","86,30062","-0,4746504","83,6689","-0,2439087"
